URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a class="StaticLoggedOutHomePage-input StaticLoggedOutHomePage-narrowLoginButton EdgeButton EdgeButton--secondary EdgeButton--small u-floatRight" href="/login">            Log in          </a>,Element has insufficient color contrast of 2.82 (foreground color: #1da1f2- background color: #ffffff- font size: 9.0pt- font weight: bold). Expected contrast ratio of 4.5:1,.StaticLoggedOutHomePage-signupHeader > a[href$="login"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a class="js-nav EdgeButton EdgeButton--medium EdgeButton--primary StaticLoggedOutHomePage-buttonSignup" href="https://twitter.com/signup">                Sign Up              </a>,Element has insufficient color contrast of 2.82 (foreground color: #ffffff- background color: #1da1f2- font size: 10.5pt- font weight: bold). Expected contrast ratio of 4.5:1,.StaticLoggedOutHomePage-buttons > a.EdgeButton--primary.StaticLoggedOutHomePage-buttonSignup
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a class="js-nav EdgeButton EdgeButton--medium EdgeButton--secondary StaticLoggedOutHomePage-buttonLogin" href="/login">                Log in              </a>,Element has insufficient color contrast of 2.82 (foreground color: #1da1f2- background color: #ffffff- font size: 10.5pt- font weight: bold). Expected contrast ratio of 4.5:1,.StaticLoggedOutHomePage-buttons > a.EdgeButton--secondary.StaticLoggedOutHomePage-buttonLogin
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<div class="StaticLoggedOutHomePage-communicationItem">          <span class="Icon Icon--search"></span> Follow your interests.        </div>,Element has insufficient color contrast of 2.82 (foreground color: #ffffff- background color: #1da1f2- font size: 13.5pt- font weight: bold). Expected contrast ratio of 4.5:1,.StaticLoggedOutHomePage-communicationContent > div:nth-child(1)
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<div class="StaticLoggedOutHomePage-communicationItem">          <span class="Icon Icon--people"></span> Hear what people are talking about.        </div>,Element has insufficient color contrast of 2.82 (foreground color: #ffffff- background color: #1da1f2- font size: 13.5pt- font weight: bold). Expected contrast ratio of 4.5:1,.StaticLoggedOutHomePage-communicationContent > div:nth-child(2)
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<div class="StaticLoggedOutHomePage-communicationItem">          <span class="Icon Icon--reply"></span> Join the conversation.        </div>,Element has insufficient color contrast of 2.82 (foreground color: #ffffff- background color: #1da1f2- font size: 13.5pt- font weight: bold). Expected contrast ratio of 4.5:1,.StaticLoggedOutHomePage-communicationContent > div:nth-child(3)
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="/about" rel="noopener">About</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(1) > a[href$="about"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="//support.twitter.com" rel="noopener">Help Center</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(2) > a[href$="support.twitter.com"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="https://blog.twitter.com" rel="noopener">Blog</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(3) > a[href$="blog.twitter.com"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="http://status.twitter.com" rel="noopener">Status</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(4) > a[href$="status.twitter.com"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="https://about.twitter.com/careers" rel="noopener">Jobs</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(5) > a[href$="careers"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="/tos" rel="noopener">Terms</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(6) > a[href$="tos"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="/privacy" rel="noopener">Privacy Policy</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(7) > a[href$="privacy"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="//support.twitter.com/articles/20170514" rel="noopener">Cookies</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(8) > a
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="//business.twitter.com/en/help/troubleshooting/how-twitter-ads-work.html" rel="noopener">Ads info</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(9) > a[href$="how-twitter-ads-work.html"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="//about.twitter.com/press/brand-assets" rel="noopener">Brand</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(10) > a[href$="brand-assets"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="https://about.twitter.com/products" rel="noopener">Apps</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(11) > a[href$="products"]
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="//ads.twitter.com/?ref=gl-tw-tw-twitter-advertise" rel="noopener">Advertise</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(12) > a
https://twitter.com/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=axeAPI,<a href="https://marketing.twitter.com" rel="noopener">Marketing</a>,Element has insufficient color contrast of 2.03 (foreground color: #aab8c2- background color: #ffffff- font size: 9.0pt- font weight: normal). Expected contrast ratio of 4.5:1,li:nth-child(13) > a[href$="marketing.twitter.com"]
