code,context,message,type,selector,Notes-Comments
"WCAG2AA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID","<a href=""#timeline"" class=""u-hiddenVisually focusable"">Skip to content</a>","This link points to a named anchor ""timeline"" within the document, but no anchor exists with that name.",error,"html > body > a","**  "
"WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","<input type=""text"" class=""text-input email-input js-signin-email"" name=""session[username_or_email]"" autocomplete=""username"" placeholder=""Phone, email, or username"">","This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form > div:nth-child(1) > input","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","<input type=""text"" class=""text-input email-input js-signin-email"" name=""session[username_or_email]"" autocomplete=""username"" placeholder=""Phone, email, or username"">","This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form > div:nth-child(1) > input","**  "
"WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputPassword.Name","<input type=""password"" class=""text-input"" name=""session[password]"" placeholder=""Password"" autocomplete=""current-password"">","This passwordinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form > div:nth-child(2) > input","**  "
"WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","<input type=""password"" class=""text-input"" name=""session[password]"" placeholder=""Password"" autocomplete=""current-password"">","This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form > div:nth-child(2) > input","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a class=""js-nav EdgeButton EdgeButton--medium EdgeButton--primary StaticLoggedOutHomePage-buttonSignup"" href=""https://twitter.com/signup"">
                Sign Up
      ...</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change background to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(3) > div > a:nth-child(1)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a class=""js-nav EdgeButton EdgeButton--medium EdgeButton--secondary StaticLoggedOutHomePage-buttonLogin"" href=""/login"">
                Log in
       ...</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change text colour to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(3) > div > a:nth-child(2)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<div class=""StaticLoggedOutHomePage-communicationItem"">
          <span class=""Icon Ic...</div>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change background to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(2) > div > div:nth-child(1)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<div class=""StaticLoggedOutHomePage-communicationItem"">
          <span class=""Icon Ic...</div>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change background to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(2) > div > div:nth-child(2)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<div class=""StaticLoggedOutHomePage-communicationItem"">
          <span class=""Icon Ic...</div>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.83:1. Recommendation: change background to #007bc7.",error,"#doc > div > div:nth-child(1) > div:nth-child(2) > div > div:nth-child(3)","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""/about"" rel=""noopener"">About</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(1) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//support.twitter.com"" rel=""noopener"">Help Center</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(2) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""https://blog.twitter.com"" rel=""noopener"">Blog</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(3) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""http://status.twitter.com"" rel=""noopener"">Status</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(4) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""https://about.twitter.com/careers"" rel=""noopener"">Jobs</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(5) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""/tos"" rel=""noopener"">Terms</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(6) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""/privacy"" rel=""noopener"">Privacy Policy</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(7) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//support.twitter.com/articles/20170514"" rel=""noopener"">Cookies</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(8) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//business.twitter.com/en/help/troubleshooting/how-twitter-ads-work.html"" rel=""noopener"">Ads info</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(9) > a","**  "
"WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","<a href=""//about.twitter.com/press/brand-assets"" rel=""noopener"">Brand</a>","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.03:1. Recommendation: change text colour to #6a7882.",error,"#doc > div > div:nth-child(4) > ul > li:nth-child(10) > a","**  "
